:ID(Topic),name
социальные сети,социальные сети
блокировка аккаунта,блокировка аккаунта
апелляция,апелляция
правила,правила
здоровье,здоровье
физическое состояние,физическое состояние
эмоциональное состояние,эмоциональное состояние
отсутствие,отсутствие
блокировка,блокировка
поддержка,поддержка
трудности,трудности
сон,сон
советы,советы
недовольство,недовольство
усталость,усталость
поздравление,поздравление
восстановление,восстановление
отношения,отношения
обращение,обращение
встреча,встреча
неудачная встреча,неудачная встреча
место,место
предпочтения,предпочтения
сессия,сессия
отсутствие взаимодействия,отсутствие взаимодействия
общение,общение
сленг,сленг
чипизация,чипизация
довод,довод
дизайн,дизайн
фильмы,фильмы
красота,красота
дружба,дружба
профессия,профессия
занятие,занятие
знакомые,знакомые
события,события
эмоции,эмоции
хобби,хобби
курение,курение
